experiment,contrast,metric,n_blocks,mean_difference,ci_95_low,ci_95_high,exact_p,positive_blocks,negative_blocks,zero_blocks,block_differences,model_mean_differences
EXP-1,leaderboard - control,final_persona_retention,4,-0.004599232599139191,-0.007215887308120672,-0.00148870870470999,0.25,1,3,0,-0.007372; -0.007059; -0.004333; 0.000368,llama3.2:3b: -0.0072; qwen3.5:2b: -0.0020
EXP-1,downvote - control,minority_survival_rate,4,-0.15416666666666667,-0.22916666666666669,-0.05000000000000002,0.25,0,3,1,-0.200000; 0.000000; -0.250000; -0.166667,llama3.2:3b: -0.1000; qwen3.5:2b: -0.2083
EXP-1,downvote - control,final_majority_fraction,4,1.3877787807814457e-17,-0.062499999999999986,0.05000000000000002,1.0,2,1,1,-0.100000; 0.000000; 0.050000; 0.050000,llama3.2:3b: -0.0500; qwen3.5:2b: +0.0500
EXP-1,downvote - control,final_mean_pairwise_sim,4,0.032187119126319885,-0.015325427055358887,0.07969966530799866,0.375,3,1,0,0.002686; -0.033337; 0.074389; 0.085010,llama3.2:3b: -0.0153; qwen3.5:2b: +0.0797
EXP-1,downvote - control,final_persona_retention,4,-0.014182021096348751,-0.03207347095012664,0.003709428757429134,0.5,2,2,0,0.003754; 0.003665; -0.034222; -0.029925,llama3.2:3b: +0.0037; qwen3.5:2b: -0.0321
EXP-2,K=20 - K=0,baseline_final_mean_pairwise_sim,4,0.03859467804431915,0.01591937243938446,0.06117647886276245,0.125,4,0,0,0.032660; 0.070682; 0.006320; 0.044717,llama3.2:3b: +0.0517; qwen3.5:2b: +0.0255
EXP-2,K=20 - K=0,baseline_minority_survival_rate,4,-0.09166666666666666,-0.2,0.0,0.5,0,2,2,0.000000; 0.000000; -0.266667; -0.100000,llama3.2:3b: +0.0000; qwen3.5:2b: -0.1833
EXP-2,K=20 - K=0,baseline_delta_majority_fraction,4,0.048333333333333305,0.021666666666666633,0.07666666666666667,0.125,4,0,0,0.086667; 0.046667; 0.013333; 0.046667,llama3.2:3b: +0.0667; qwen3.5:2b: +0.0300
EXP-2,K=20 - K=0,baseline_persona_collapse_score,4,0.14845,0.11759999999999994,0.17405000000000004,0.125,4,0,0,0.176500; 0.171600; 0.099600; 0.146100,llama3.2:3b: +0.1741; qwen3.5:2b: +0.1228
EXP-2,K=20 - K=0,delta_strict_share,4,0.18333333333333338,0.06666666666666674,0.33333333333333337,0.125,4,0,0,0.166667; 0.033333; 0.133333; 0.400000,llama3.2:3b: +0.1000; qwen3.5:2b: +0.2667
EXP-2,linear slope over K,delta_strict_share,4,0.00747483718176436,0.0028419182948490247,0.011915334517465962,0.125,4,0,0,0.007342; 0.001125; 0.007993; 0.013440,slope units per coordinated account
EXP-2,K=20 - K=0,delta_broad_share,4,0.09166666666666663,-0.033333333333333354,0.2416666666666666,0.5,3,1,0,0.066667; -0.066667; 0.066667; 0.300000,llama3.2:3b: +0.0000; qwen3.5:2b: +0.1833
EXP-2,linear slope over K,delta_broad_share,4,0.004159265837773828,5.920663114268446e-05,0.009073416222616931,0.25,3,1,0,0.004914; -0.001362; 0.001480; 0.011604,slope units per coordinated account
EXP-3,20x - 1x,delta_strict_share,4,-0.06666666666666668,-0.1333333333333334,-0.01666666666666665,0.25,0,3,1,0.000000; -0.033333; -0.066667; -0.166667,llama3.2:3b: -0.0167; qwen3.5:2b: -0.1167
EXP-3,linear slope over log2(multiplier),delta_strict_share,4,-0.011847542806762465,-0.025357902439372124,0.00033428145667748583,0.25,1,3,0,-0.006597; 0.005260; -0.014441; -0.031612,slope units per doubling
EXP-3,20x - 1x,delta_broad_share,4,-0.049999999999999975,-0.13333333333333325,0.0333333333333333,0.5,2,2,0,0.033333; -0.100000; 0.033333; -0.166667,llama3.2:3b: -0.0333; qwen3.5:2b: -0.0667
EXP-3,linear slope over log2(multiplier),delta_broad_share,4,-0.006333699634663173,-0.022464833792550674,0.007443804887011383,0.75,2,2,0,0.010127; -0.008683; 0.004760; -0.031540,slope units per doubling
EXP-3,20x - 1x,baseline_final_mean_pairwise_sim,4,-0.007448911666870117,-0.03096434473991394,0.038031503558158875,0.875,1,3,0,-0.031306; -0.028783; 0.060916; -0.030623,llama3.2:3b: -0.0300; qwen3.5:2b: +0.0151
EXP-3,linear slope over log2(multiplier),baseline_final_mean_pairwise_sim,4,-0.0005363147759162895,-0.00728261842013253,0.008294367145324853,0.875,1,3,0,-0.002035; -0.009032; 0.012128; -0.003207,slope units per doubling
EXP-3,20x - 1x,baseline_minority_survival_rate,4,-0.2416666666666667,-0.33333333333333337,-0.08333333333333333,0.25,0,3,1,-0.300000; 0.000000; -0.333333; -0.333333,llama3.2:3b: -0.1500; qwen3.5:2b: -0.3333
EXP-3,linear slope over log2(multiplier),baseline_minority_survival_rate,4,-0.02498333616689482,-0.03343981676176756,-0.013982662075605569,0.125,0,4,0,-0.035625; -0.009254; -0.028170; -0.026886,slope units per doubling
EXP-6,factcheck_label - none,delta_mean_similarity,4,-0.03457587604459963,-0.045346391828436555,-0.0238053602607627,0.125,0,4,0,-0.020125; -0.042906; -0.047786; -0.027486,llama3.2:3b: -0.0315; qwen3.5:2b: -0.0376
EXP-6,factcheck_label - none,delta_n_thematically_aligned,4,-5.0,-7.25,-2.25,0.125,0,4,0,-1.000000; -5.000000; -6.000000; -8.000000,llama3.2:3b: -3.0000; qwen3.5:2b: -7.0000
EXP-6,deamplify - none,delta_mean_similarity,4,0.0035186421714330993,-0.0183733764447663,0.0254106607876325,0.75,2,2,0,-0.022145; -0.014601; 0.025134; 0.025687,llama3.2:3b: -0.0184; qwen3.5:2b: +0.0254
EXP-6,deamplify - none,delta_n_thematically_aligned,4,-0.75,-2.5,1.0,0.75,1,2,1,-2.000000; 0.000000; 2.000000; -3.000000,llama3.2:3b: -1.0000; qwen3.5:2b: -0.5000
EXP-6,rebuttal - none,delta_mean_similarity,4,0.0142269965849424,-0.013028151502734904,0.0411254512636285,0.375,3,1,0,0.040759; 0.041491; 0.005614; -0.030957,llama3.2:3b: +0.0411; qwen3.5:2b: -0.0127
EXP-6,rebuttal - none,delta_n_thematically_aligned,4,-0.75,-3.0,1.5,0.75,2,2,0,-3.000000; 1.000000; 2.000000; -3.000000,llama3.2:3b: -1.0000; qwen3.5:2b: -0.5000
